实际使用的通道索引: [0, 1, 24, 31]
================================================================================
开始运行少通道跨个体 FBSTCNet 实验
================================================================================
实验模式: subject-independent
使用通道索引: [0, 1, 24, 31]
通道数量: 4
数据集: seed_raw
数据集路径: /data/mzy/SEED/
批次大小: 32
学习率: 0.001
训练轮数: 150
================================================================================
Using train-val-test SEED subject independent experiment mode,
The random nine subjects' data are taken as training set, random three subjects' data are taken as validation set, random three subject's data are taken as test set. We choose the best results in validation set,and test it in test set
/home/mzy/anaconda3/lib/python3.11/site-packages/torch/__init__.py:1240: UserWarning: torch.set_default_tensor_type() is deprecated as of PyTorch 2.1, please use torch.set_default_dtype() and torch.set_default_device() as alternatives. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:434.)
  _C._set_default_tensor_type(t)
Selecting channels: [0, 1, 24, 31]
Number of channels after selection: 4
train indexes:[14, 10, 6, 3, 4, 9, 11, 2, 7], val indexes:[13, 12, 1], test indexes:[8, 0, 5]
当前使用的通道数量: 4
  epoch    train_loss       dur
    121        0.7525  197.5875
    122        0.7520  202.9684
    123        [36m0.7480[0m  194.5062
    124        0.7485  211.3735
    125        0.7526  189.2530
    126        0.7502  191.0274
    127        0.7496  194.1819
    128        0.7524  188.1932
    129        0.7559  183.2911
    130        0.7509  188.0280
    131        0.7510  194.1557
    132        0.7510  197.5634
    133        0.7481  174.7106
    134        0.7505  187.7214
    135        [36m0.7458[0m  182.5550
    136        0.7516  192.5107
    137        0.7498  178.2444
    138        0.7507  190.6352
    139        0.7504  185.3463
    140        0.7482  183.3248
    141        0.7494  186.0024
    142        0.7475  191.5375
    143        0.7510  192.3988
    144        0.7490  181.1643
    145        [36m0.7456[0m  184.2491
    146        0.7475  178.0183
    147        0.7465  180.5845
    148        0.7480  195.7228
    149        [36m0.7445[0m  211.1650
    150        0.7464  203.7252
  epoch    train_loss       dur
-------  ------------  --------
      1        [36m0.7472[0m  208.6265
      2        0.7500  204.0487
      3        0.7477  205.9632
      4        0.7481  201.1257
      5        [36m0.7447[0m  194.9453
      6        0.7466  196.3790
      7        0.7454  194.5951
      8        0.7454  190.4620
      9        [36m0.7441[0m  192.9307
     10        [36m0.7439[0m  200.3474
     11        0.7455  211.5412
     12        0.7447  205.8284
     13        0.7453  202.1902
     14        0.7444  200.3052
     15        0.7443  196.0003
     16        0.7447  193.6286
     17        0.7464  202.0150
     18        0.7449  203.9590
     19        [36m0.7415[0m  197.0217
     20        0.7424  187.5827
     21        0.7432  200.1430
     22        0.7457  198.7524
     23        0.7437  216.5257
     24        0.7473  205.2210
     25        0.7428  202.4459
     26        0.7444  197.4220
     27        0.7442  192.2920
     28        [36m0.7411[0m  193.0019
     29        [36m0.7402[0m  192.0695
     30        0.7440  193.1697
     31        0.7430  202.1487
     32        0.7431  194.0231
     33        [36m0.7377[0m  189.9922
     34        0.7396  191.1532
     35        0.7387  198.7327
     36        0.7405  199.9160
     37        0.7428  206.4309
     38        0.7411  208.7515
     39        0.7402  202.4592
     40        0.7440  198.8159
     41        0.7414  198.6496
     42        0.7417  202.6796
best_val_acc: 0.49
best_test_acc: 0.49
best_val_macro-f1: 0.41
best_test_macro-f1: 0.41
|  Result  |   acc_mean    |    acc_std    | macro-f1_mean | macro-f1_std  |
|    1     |    0.4866     |    0.0864     |    0.4051     |    0.0707     |
ALLRound Mean and Std of acc : 0.4866/0.0000
ALLRound Mean and Std of macro-f1 : 0.4051/0.0000
