实际使用的通道索引: [0, 1, 24, 31, 5, 13, 33, 40]
================================================================================
开始运行少通道跨个体 FBSTCNet 实验
================================================================================
实验模式: subject-independent
使用通道索引: [0, 1, 24, 31, 5, 13, 33, 40]
通道数量: 8
数据集: seed_raw
数据集路径: /data/mzy/SEED/
批次大小: 32
学习率: 0.001
训练轮数: 150
================================================================================
Using train-val-test SEED subject independent experiment mode,
The random nine subjects' data are taken as training set, random three subjects' data are taken as validation set, random three subject's data are taken as test set. We choose the best results in validation set,and test it in test set
/home/mzy/anaconda3/lib/python3.11/site-packages/torch/__init__.py:1240: UserWarning: torch.set_default_tensor_type() is deprecated as of PyTorch 2.1, please use torch.set_default_dtype() and torch.set_default_device() as alternatives. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:434.)
  _C._set_default_tensor_type(t)
Selecting channels: [0, 1, 24, 31, 5, 13, 33, 40]
Number of channels after selection: 8
train indexes:[14, 10, 6, 3, 4, 9, 11, 2, 7], val indexes:[13, 12, 1], test indexes:[8, 0, 5]
当前使用的通道数量: 8
  epoch    train_loss       dur
    139        0.6304  211.6412
    140        0.6280  200.8737
    141        0.6331  215.9019
    142        0.6288  236.1681
    143        0.6306  241.2097
    144        0.6273  228.4715
    145        0.6277  231.4350
    146        0.6303  230.2025
    147        0.6309  239.6567
    148        [36m0.6261[0m  237.8038
    149        0.6283  232.3409
    150        [36m0.6259[0m  233.7039
  epoch    train_loss       dur
-------  ------------  --------
      1        [36m0.6251[0m  227.6203
      2        0.6256  219.3833
      3        0.6295  225.4638
      4        0.6263  224.3346
      5        0.6281  231.7346
      6        [36m0.6243[0m  230.8044
      7        0.6247  223.9416
      8        0.6263  226.6261
      9        0.6276  226.0205
     10        [36m0.6231[0m  217.8702
     11        0.6245  219.5554
     12        0.6297  228.8606
     13        0.6260  231.4661
     14        0.6266  235.8942
     15        0.6248  230.0366
     16        0.6257  235.6191
     17        0.6238  230.1567
     18        0.6257  218.2974
     19        0.6259  215.3468
     20        [36m0.6228[0m  214.0776
     21        [36m0.6218[0m  219.9183
     22        [36m0.6211[0m  214.3325
     23        0.6217  210.6689
     24        0.6240  217.6520
     25        0.6244  215.4728
     26        [36m0.6173[0m  216.3782
     27        0.6242  216.5489
     28        0.6186  217.1967
     29        0.6201  212.1554
     30        0.6218  214.4867
     31        0.6215  212.1762
     32        [36m0.6166[0m  215.3369
     33        0.6201  219.4528
     34        0.6240  213.5050
     35        0.6215  191.0185
     36        0.6249  188.7839
     37        0.6221  199.6742
     38        0.6228  212.7186
     39        0.6185  209.8495
     40        0.6170  217.1537
     41        0.6221  215.4562
     42        0.6192  216.6865
     43        0.6193  217.3466
     44        [36m0.6154[0m  208.8756
     45        0.6195  216.4604
     46        0.6175  209.3101
     47        0.6192  210.5684
     48        0.6180  215.0838
     49        0.6194  216.9387
     50        0.6184  216.5351
     51        0.6154  216.6414
     52        0.6195  217.0748
     53        0.6166  206.2110
     54        0.6160  211.8555
     55        0.6167  217.1448
     56        0.6195  199.3016
     57        [36m0.6146[0m  201.0982
     58        0.6153  209.8729
     59        [36m0.6130[0m  199.3733
     60        0.6149  197.7832
     61        0.6163  199.8838
     62        0.6159  196.7393
     63        0.6133  196.6569
     64        [36m0.6115[0m  198.8231
     65        0.6123  213.8548
     66        0.6146  210.6512
     67        0.6154  193.3957
     68        [36m0.6110[0m  193.2667
     69        0.6125  191.0494
     70        0.6138  216.4423
     71        0.6117  216.4947
     72        0.6121  214.5847
     73        0.6119  204.9928
     74        [36m0.6096[0m  224.0225
     75        0.6127  222.0591
     76        0.6128  218.5663
     77        0.6118  229.7782
     78        0.6120  237.2753
     79        0.6126  238.0119
     80        0.6145  234.4245
     81        0.6125  234.3916
     82        0.6113  235.9661
     83        0.6153  234.0258
     84        0.6116  231.1101
     85        0.6147  229.0678
     86        [36m0.6090[0m  236.5008
     87        0.6121  233.5574
     88        0.6133  220.2180
     89        0.6092  232.0928
     90        [36m0.6086[0m  236.6811
     91        [36m0.6083[0m  233.7225
     92        0.6111  232.6828
best_val_acc: 0.47
best_test_acc: 0.47
best_val_macro-f1: 0.38
best_test_macro-f1: 0.38
|  Result  |   acc_mean    |    acc_std    | macro-f1_mean | macro-f1_std  |
|    1     |    0.4660     |    0.0742     |    0.3826     |    0.0794     |
ALLRound Mean and Std of acc : 0.4660/0.0000
ALLRound Mean and Std of macro-f1 : 0.3826/0.0000
